id,name,acronym,atlas_id,parent_structure_id,parent_name,parent_acronym,voxels_in_structure
353,"Primary somatosensory area, nose",SSp-n,751,322,Primary somatosensory area,SSp,0
558,"Primary somatosensory area, nose, layer 1",SSp-n1,635,353,"Primary somatosensory area, nose",SSp-n,51480
838,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,953,353,"Primary somatosensory area, nose",SSp-n,72245
654,"Primary somatosensory area, nose, layer 4",SSp-n4,647,353,"Primary somatosensory area, nose",SSp-n,58495
702,"Primary somatosensory area, nose, layer 5",SSp-n5,653,353,"Primary somatosensory area, nose",SSp-n,58697
889,"Primary somatosensory area, nose, layer 6a",SSp-n6a,1101,353,"Primary somatosensory area, nose",SSp-n,74386
929,"Primary somatosensory area, nose, layer 6b",SSp-n6b,1106,353,"Primary somatosensory area, nose",SSp-n,4620
329,"Primary somatosensory area, barrel field",SSp-bfd,748,322,Primary somatosensory area,SSp,0
981,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,971,329,"Primary somatosensory area, barrel field",SSp-bfd,93979
201,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,1015,329,"Primary somatosensory area, barrel field",SSp-bfd,150662
1047,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,979,329,"Primary somatosensory area, barrel field",SSp-bfd,123774
1070,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,982,329,"Primary somatosensory area, barrel field",SSp-bfd,122213
1038,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,978,329,"Primary somatosensory area, barrel field",SSp-bfd,138397
1062,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,981,329,"Primary somatosensory area, barrel field",SSp-bfd,15405
480149202,Rostrolateral lateral visual area,VISrll,,329,"Primary somatosensory area, barrel field",SSp-bfd,0
480149206,"Rostrolateral lateral visual area, layer 1",VISrll1,,480149202,Rostrolateral lateral visual area,VISrll,0
480149210,"Rostrolateral lateral visual area, layer 2/3",VISrll2/3,,480149202,Rostrolateral lateral visual area,VISrll,0
480149214,"Rostrolateral lateral visual area, layer 4",VISrll4,,480149202,Rostrolateral lateral visual area,VISrll,0
480149218,"Rostrolateral lateral visual area,layer 5",VISrll5,,480149202,Rostrolateral lateral visual area,VISrll,0
480149222,"Rostrolateral lateral visual area, layer 6a",VISrll6a,,480149202,Rostrolateral lateral visual area,VISrll,0
480149226,"Rostrolateral lateral visual area, layer 6b",VISrll6b,,480149202,Rostrolateral lateral visual area,VISrll,0
337,"Primary somatosensory area, lower limb",SSp-ll,749,322,Primary somatosensory area,SSp,0
1030,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,977,337,"Primary somatosensory area, lower limb",SSp-ll,30056
113,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,1004,337,"Primary somatosensory area, lower limb",SSp-ll,57864
1094,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,985,337,"Primary somatosensory area, lower limb",SSp-ll,24756
1128,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,989,337,"Primary somatosensory area, lower limb",SSp-ll,53813
478,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,625,337,"Primary somatosensory area, lower limb",SSp-ll,55545
510,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,629,337,"Primary somatosensory area, lower limb",SSp-ll,5226
345,"Primary somatosensory area, mouth",SSp-m,750,322,Primary somatosensory area,SSp,0
878,"Primary somatosensory area, mouth, layer 1",SSp-m1,958,345,"Primary somatosensory area, mouth",SSp-m,100905
657,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,1072,345,"Primary somatosensory area, mouth",SSp-m,169410
950,"Primary somatosensory area, mouth, layer 4",SSp-m4,967,345,"Primary somatosensory area, mouth",SSp-m,99230
974,"Primary somatosensory area, mouth, layer 5",SSp-m5,970,345,"Primary somatosensory area, mouth",SSp-m,119182
1102,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,986,345,"Primary somatosensory area, mouth",SSp-m,142373
2,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,990,345,"Primary somatosensory area, mouth",SSp-m,9621
369,"Primary somatosensory area, upper limb",SSp-ul,753,322,Primary somatosensory area,SSp,0
450,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,1046,369,"Primary somatosensory area, upper limb",SSp-ul,53303
854,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,955,369,"Primary somatosensory area, upper limb",SSp-ul,100029
577,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,1062,369,"Primary somatosensory area, upper limb",SSp-ul,52478
625,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,1068,369,"Primary somatosensory area, upper limb",SSp-ul,80694
945,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,1108,369,"Primary somatosensory area, upper limb",SSp-ul,95005
1026,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,1118,369,"Primary somatosensory area, upper limb",SSp-ul,7454
361,"Primary somatosensory area, trunk",SSp-tr,752,322,Primary somatosensory area,SSp,0
1006,"Primary somatosensory area, trunk, layer 1",SSp-tr1,974,361,"Primary somatosensory area, trunk",SSp-tr,28485
670,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,649,361,"Primary somatosensory area, trunk",SSp-tr,57773
1086,"Primary somatosensory area, trunk, layer 4",SSp-tr4,984,361,"Primary somatosensory area, trunk",SSp-tr,19598
1111,"Primary somatosensory area, trunk, layer 5",SSp-tr5,987,361,"Primary somatosensory area, trunk",SSp-tr,59098
9,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,991,361,"Primary somatosensory area, trunk",SSp-tr,34777
461,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,623,361,"Primary somatosensory area, trunk",SSp-tr,5050
182305689,"Primary somatosensory area, unassigned",SSp-un,,322,Primary somatosensory area,SSp,0
182305693,"Primary somatosensory area, unassigned, layer 1",SSp-un1,,182305689,"Primary somatosensory area, unassigned",SSp-un,0
182305697,"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,,182305689,"Primary somatosensory area, unassigned",SSp-un,0
182305701,"Primary somatosensory area, unassigned, layer 4",SSp-un4,,182305689,"Primary somatosensory area, unassigned",SSp-un,0
182305705,"Primary somatosensory area, unassigned, layer 5",SSp-un5,,182305689,"Primary somatosensory area, unassigned",SSp-un,0
182305709,"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,,182305689,"Primary somatosensory area, unassigned",SSp-un,0
182305713,"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,,182305689,"Primary somatosensory area, unassigned",SSp-un,0
378,Supplemental somatosensory area,SSs,754,453,Somatosensory areas,SS,0
873,"Supplemental somatosensory area, layer 1",SSs1,1099,378,Supplemental somatosensory area,SSs,109342
806,"Supplemental somatosensory area, layer 2/3",SSs2/3,949,378,Supplemental somatosensory area,SSs,178207
1035,"Supplemental somatosensory area, layer 4",SSs4,1119,378,Supplemental somatosensory area,SSs,100501
1090,"Supplemental somatosensory area, layer 5",SSs5,1126,378,Supplemental somatosensory area,SSs,199703
862,"Supplemental somatosensory area, layer 6a",SSs6a,956,378,Supplemental somatosensory area,SSs,204329
893,"Supplemental somatosensory area, layer 6b",SSs6b,960,378,Supplemental somatosensory area,SSs,20467
1057,Gustatory areas,GU,131,315,Isocortex,Isocortex,0
36,"Gustatory areas, layer 1",GU1,994,1057,Gustatory areas,GU,20968
180,"Gustatory areas, layer 2/3",GU2/3,729,1057,Gustatory areas,GU,36011
148,"Gustatory areas, layer 4",GU4,1008,1057,Gustatory areas,GU,13029
187,"Gustatory areas, layer 5",GU5,1013,1057,Gustatory areas,GU,46705
638,"Gustatory areas, layer 6a",GU6a,645,1057,Gustatory areas,GU,37404
662,"Gustatory areas, layer 6b",GU6b,648,1057,Gustatory areas,GU,3456
677,Visceral area,VISC,367,315,Isocortex,Isocortex,0
897,"Visceral area, layer 1",VISC1,1102,677,Visceral area,VISC,28273
1106,"Visceral area, layer 2/3",VISC2/3,1128,677,Visceral area,VISC,40980
1010,"Visceral area, layer 4",VISC4,1116,677,Visceral area,VISC,13976
1058,"Visceral area, layer 5",VISC5,1122,677,Visceral area,VISC,56203
857,"Visceral area, layer 6a",VISC6a,1097,677,Visceral area,VISC,48013
849,"Visceral area, layer 6b",VISC6b,1096,677,Visceral area,VISC,4790
247,Auditory areas,AUD,30,315,Isocortex,Isocortex,0
1011,Dorsal auditory area,AUDd,833,247,Auditory areas,AUD,0
527,"Dorsal auditory area, layer 1",AUDd1,631,1011,Dorsal auditory area,AUDd,19142
600,"Dorsal auditory area, layer 2/3",AUDd2/3,923,1011,Dorsal auditory area,AUDd,28450
678,"Dorsal auditory area, layer 4",AUDd4,650,1011,Dorsal auditory area,AUDd,12355
252,"Dorsal auditory area, layer 5",AUDd5,738,1011,Dorsal auditory area,AUDd,37644
156,"Dorsal auditory area, layer 6a",AUDd6a,1009,1011,Dorsal auditory area,AUDd,23151
243,"Dorsal auditory area, layer 6b",AUDd6b,1020,1011,Dorsal auditory area,AUDd,3586
480149230,Laterolateral anterior visual area,VISlla,,1011,Dorsal auditory area,AUDd,0
480149234,"Laterolateral anterior visual area, layer 1",VISlla1,,480149230,Laterolateral anterior visual area,VISlla,0
480149238,"Laterolateral anterior visual area, layer 2/3",VISlla2/3,,480149230,Laterolateral anterior visual area,VISlla,0
480149242,"Laterolateral anterior visual area, layer 4",VISlla4,,480149230,Laterolateral anterior visual area,VISlla,0
480149246,"Laterolateral anterior visual area,layer 5",VISlla5,,480149230,Laterolateral anterior visual area,VISlla,0
480149250,"Laterolateral anterior visual area, layer 6a",VISlla6a,,480149230,Laterolateral anterior visual area,VISlla,0
480149254,"Laterolateral anterior visual area, layer 6b",VISlla6b,,480149230,Laterolateral anterior visual area,VISlla,0
1002,Primary auditory area,AUDp,832,247,Auditory areas,AUD,0
735,"Primary auditory area, layer 1",AUDp1,940,1002,Primary auditory area,AUDp,37828
251,"Primary auditory area, layer 2/3",AUDp2/3,1021,1002,Primary auditory area,AUDp,46389
816,"Primary auditory area, layer 4",AUDp4,950,1002,Primary auditory area,AUDp,24057
847,"Primary auditory area, layer 5",AUDp5,954,1002,Primary auditory area,AUDp,77982
954,"Primary auditory area, layer 6a",AUDp6a,1109,1002,Primary auditory area,AUDp,32078
1005,"Primary auditory area, layer 6b",AUDp6b,1115,1002,Primary auditory area,AUDp,5550
1027,Posterior auditory area,AUDpo,835,247,Auditory areas,AUD,0
696,"Posterior auditory area, layer 1",AUDpo1,935,1027,Posterior auditory area,AUDpo,10632
643,"Posterior auditory area, layer 2/3",AUDpo2/3,1070,1027,Posterior auditory area,AUDpo,13879
759,"Posterior auditory area, layer 4",AUDpo4,943,1027,Posterior auditory area,AUDpo,7619
791,"Posterior auditory area, layer 5",AUDpo5,947,1027,Posterior auditory area,AUDpo,19735
249,"Posterior auditory area, layer 6a",AUDpo6a,455,1027,Posterior auditory area,AUDpo,8253
456,"Posterior auditory area, layer 6b",AUDpo6b,622,1027,Posterior auditory area,AUDpo,1773
1018,Ventral auditory area,AUDv,834,247,Auditory areas,AUD,0
959,"Ventral auditory area, layer 1",AUDv1,968,1018,Ventral auditory area,AUDv,25498
755,"Ventral auditory area, layer 2/3",AUDv2/3,1084,1018,Ventral auditory area,AUDv,32410
990,"Ventral auditory area, layer 4",AUDv4,972,1018,Ventral auditory area,AUDv,18562
1023,"Ventral auditory area, layer 5",AUDv5,976,1018,Ventral auditory area,AUDv,58585
520,"Ventral auditory area, layer 6a",AUDv6a,630,1018,Ventral auditory area,AUDv,30160
598,"Ventral auditory area, layer 6b",AUDv6b,640,1018,Ventral auditory area,AUDv,4666
669,Visual areas,VIS,366,315,Isocortex,Isocortex,55552
801,"Visual areas, layer 1",VIS1,1090,669,Visual areas,VIS,0
561,"Visual areas, layer 2/3",VIS2/3,1060,669,Visual areas,VIS,0
913,"Visual areas, layer 4",VIS4,1104,669,Visual areas,VIS,0
937,"Visual areas, layer 5",VIS5,1107,669,Visual areas,VIS,0
457,"Visual areas, layer 6a",VIS6a,1047,669,Visual areas,VIS,0
497,"Visual areas, layer 6b",VIS6b,1052,669,Visual areas,VIS,0
402,Anterolateral visual area,VISal,757,669,Visual areas,VIS,0
1074,"Anterolateral visual area, layer 1",VISal1,1124,402,Anterolateral visual area,VISal,11676
905,"Anterolateral visual area, layer 2/3",VISal2/3,1103,402,Anterolateral visual area,VISal,18896
1114,"Anterolateral visual area, layer 4",VISal4,1129,402,Anterolateral visual area,VISal,10570
233,"Anterolateral visual area, layer 5",VISal5,453,402,Anterolateral visual area,VISal,23090
601,"Anterolateral visual area, layer 6a",VISal6a,1065,402,Anterolateral visual area,VISal,12540
649,"Anterolateral visual area, layer 6b",VISal6b,1071,402,Anterolateral visual area,VISal,2347
394,Anteromedial visual area,VISam,756,669,Visual areas,VIS,0
281,"Anteromedial visual area, layer 1",VISam1,1025,394,Anteromedial visual area,VISam,13131
1066,"Anteromedial visual area, layer 2/3",VISam2/3,1123,394,Anteromedial visual area,VISam,17790
401,"Anteromedial visual area, layer 4",VISam4,1040,394,Anteromedial visual area,VISam,5342
433,"Anteromedial visual area, layer 5",VISam5,1044,394,Anteromedial visual area,VISam,20756
1046,"Anteromedial visual area, layer 6a",VISam6a,696,394,Anteromedial visual area,VISam,11790
441,"Anteromedial visual area, layer 6b",VISam6b,762,394,Anteromedial visual area,VISam,2066
409,Lateral visual area,VISl,758,669,Visual areas,VIS,0
421,"Lateral visual area, layer 1",VISl1,618,409,Lateral visual area,VISl,17852
973,"Lateral visual area, layer 2/3",VISl2/3,687,409,Lateral visual area,VISl,27283
573,"Lateral visual area, layer 4",VISl4,637,409,Lateral visual area,VISl,17063
613,"Lateral visual area, layer 5",VISl5,642,409,Lateral visual area,VISl,32287
74,"Lateral visual area, layer 6a",VISl6a,999,409,Lateral visual area,VISl,22154
121,"Lateral visual area, layer 6b",VISl6b,1005,409,Lateral visual area,VISl,3973
385,Primary visual area,VISp,755,669,Visual areas,VIS,0
593,"Primary visual area, layer 1",VISp1,1064,385,Primary visual area,VISp,137358
821,"Primary visual area, layer 2/3",VISp2/3,951,385,Primary visual area,VISp,195739
721,"Primary visual area, layer 4",VISp4,1080,385,Primary visual area,VISp,102596
778,"Primary visual area, layer 5",VISp5,1087,385,Primary visual area,VISp,161854
33,"Primary visual area, layer 6a",VISp6a,428,385,Primary visual area,VISp,116376
305,"Primary visual area, layer 6b",VISp6b,462,385,Primary visual area,VISp,17476
425,Posterolateral visual area,VISpl,760,669,Visual areas,VIS,0
750,"Posterolateral visual area, layer 1",VISpl1,942,425,Posterolateral visual area,VISpl,20996
269,"Posterolateral visual area, layer 2/3",VISpl2/3,882,425,Posterolateral visual area,VISpl,23461
869,"Posterolateral visual area, layer 4",VISpl4,957,425,Posterolateral visual area,VISpl,3723
902,"Posterolateral visual area, layer 5",VISpl5,961,425,Posterolateral visual area,VISpl,26646
377,"Posterolateral visual area, layer 6a",VISpl6a,1037,425,Posterolateral visual area,VISpl,12050
393,"Posterolateral visual area, layer 6b",VISpl6b,1039,425,Posterolateral visual area,VISpl,941
533,posteromedial visual area,VISpm,915,669,Visual areas,VIS,0
805,"posteromedial visual area, layer 1",VISpm1,383,533,posteromedial visual area,VISpm,18663
41,"posteromedial visual area, layer 2/3",VISpm2/3,995,533,posteromedial visual area,VISpm,24419
501,"posteromedial visual area, layer 4",VISpm4,628,533,posteromedial visual area,VISpm,8561
565,"posteromedial visual area, layer 5",VISpm5,636,533,posteromedial visual area,VISpm,26106
257,"posteromedial visual area, layer 6a",VISpm6a,456,533,posteromedial visual area,VISpm,13773
469,"posteromedial visual area, layer 6b",VISpm6b,624,533,posteromedial visual area,VISpm,2441
312782574,Laterointermediate area,VISli,,669,Visual areas,VIS,0
312782578,"Laterointermediate area, layer 1",VISli1,,312782574,Laterointermediate area,VISli,0
312782582,"Laterointermediate area, layer 2/3",VISli2/3,,312782574,Laterointermediate area,VISli,0
312782586,"Laterointermediate area, layer 4",VISli4,,312782574,Laterointermediate area,VISli,0
312782590,"Laterointermediate area, layer 5",VISli5,,312782574,Laterointermediate area,VISli,0
312782594,"Laterointermediate area, layer 6a",VISli6a,,312782574,Laterointermediate area,VISli,0
312782598,"Laterointermediate area, layer 6b",VISli6b,,312782574,Laterointermediate area,VISli,0
312782628,Postrhinal area,VISpor,,669,Visual areas,VIS,0
312782632,"Postrhinal area, layer 1",VISpor1,,312782628,Postrhinal area,VISpor,0
312782636,"Postrhinal area, layer 2/3",VISpor2/3,,312782628,Postrhinal area,VISpor,0
312782640,"Postrhinal area, layer 4",VISpor4,,312782628,Postrhinal area,VISpor,0
312782656,"Postrhinal area, layer 5",VISpor5,,312782628,Postrhinal area,VISpor,67420
312782648,"Postrhinal area, layer 6a",VISpor6a,,312782628,Postrhinal area,VISpor,0
312782652,"Postrhinal area, layer 6b",VISpor6b,,312782628,Postrhinal area,VISpor,0
31,Anterior cingulate area,ACA,3,315,Isocortex,Isocortex,0
572,"Anterior cingulate area, layer 1",ACA1,1061,31,Anterior cingulate area,ACA,0
1053,"Anterior cingulate area, layer 2/3",ACA2/3,1121,31,Anterior cingulate area,ACA,0
739,"Anterior cingulate area, layer 5",ACA5,1082,31,Anterior cingulate area,ACA,0
179,"Anterior cingulate area, layer 6a",ACA6a,1012,31,Anterior cingulate area,ACA,0
227,"Anterior cingulate area, layer 6b",ACA6b,1018,31,Anterior cingulate area,ACA,0
39,"Anterior cingulate area, dorsal part",ACAd,4,31,Anterior cingulate area,ACA,0
935,"Anterior cingulate area, dorsal part, layer 1",ACAd1,965,39,"Anterior cingulate area, dorsal part",ACAd,67077
211,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,1016,39,"Anterior cingulate area, dorsal part",ACAd,64945
1015,"Anterior cingulate area, dorsal part, layer 5",ACAd5,975,39,"Anterior cingulate area, dorsal part",ACAd,116376
919,"Anterior cingulate area, dorsal part, layer 6a",ACAd6a,963,39,"Anterior cingulate area, dorsal part",ACAd,60057
927,"Anterior cingulate area, dorsal part, layer 6b",ACAd6b,964,39,"Anterior cingulate area, dorsal part",ACAd,2050
48,"Anterior cingulate area, ventral part",ACAv,5,31,Anterior cingulate area,ACA,0
588,"Anterior cingulate area, ventral part, layer 1",ACAv1,1063,48,"Anterior cingulate area, ventral part",ACAv,47503
296,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,885,48,"Anterior cingulate area, ventral part",ACAv,49132
772,"Anterior cingulate area, ventral part, layer 5",ACAv5,1086,48,"Anterior cingulate area, ventral part",ACAv,93386
810,"Anterior cingulate area, ventral part, 6a",ACAv6a,1091,48,"Anterior cingulate area, ventral part",ACAv,31683
819,"Anterior cingulate area, ventral part, 6b",ACAv6b,1092,48,"Anterior cingulate area, ventral part",ACAv,5574
972,Prelimbic area,PL,262,315,Isocortex,Isocortex,0
171,"Prelimbic area, layer 1",PL1,1011,972,Prelimbic area,PL,50909
195,"Prelimbic area, layer 2",PL2,1014,972,Prelimbic area,PL,0
304,"Prelimbic area, layer 2/3",PL2/3,886,972,Prelimbic area,PL,40525
363,"Prelimbic area, layer 5",PL5,1035,972,Prelimbic area,PL,86845
84,"Prelimbic area, layer 6a",PL6a,1000,972,Prelimbic area,PL,32419
132,"Prelimbic area, layer 6b",PL6b,1006,972,Prelimbic area,PL,0
44,Infralimbic area,ILA,146,315,Isocortex,Isocortex,0
707,"Infralimbic area, layer 1",ILA1,1078,44,Infralimbic area,ILA,12901
747,"Infralimbic area, layer 2",ILA2,1083,44,Infralimbic area,ILA,0
556,"Infralimbic area, layer 2/3",ILA2/3,1059,44,Infralimbic area,ILA,12261
827,"Infralimbic area, layer 5",ILA5,1093,44,Infralimbic area,ILA,27574
1054,"Infralimbic area, layer 6a",ILA6a,980,44,Infralimbic area,ILA,16161
1081,"Infralimbic area, layer 6b",ILA6b,983,44,Infralimbic area,ILA,811
714,Orbital area,ORB,230,315,Isocortex,Isocortex,0
264,"Orbital area, layer 1",ORB1,881,714,Orbital area,ORB,0
492,"Orbital area, layer 2/3",ORB2/3,1051,714,Orbital area,ORB,0
352,"Orbital area, layer 5",ORB5,892,714,Orbital area,ORB,0
476,"Orbital area, layer 6a",ORB6a,1049,714,Orbital area,ORB,0
516,"Orbital area, layer 6b",ORB6b,1054,714,Orbital area,ORB,0
723,"Orbital area, lateral part",ORBl,231,714,Orbital area,ORB,0
448,"Orbital area, lateral part, layer 1",ORBl1,621,723,"Orbital area, lateral part",ORBl,33074
412,"Orbital area, lateral part, layer 2/3",ORBl2/3,1041,723,"Orbital area, lateral part",ORBl,55908
630,"Orbital area, lateral part, layer 5",ORBl5,644,723,"Orbital area, lateral part",ORBl,104371
440,"Orbital area, lateral part, layer 6a",ORBl6a,620,723,"Orbital area, lateral part",ORBl,34895
488,"Orbital area, lateral part, layer 6b",ORBl6b,626,723,"Orbital area, lateral part",ORBl,3346
731,"Orbital area, medial part",ORBm,232,714,Orbital area,ORB,0
484,"Orbital area, medial part, layer 1",ORBm1,1050,731,"Orbital area, medial part",ORBm,39527
524,"Orbital area, medial part, layer 2",ORBm2,1055,731,"Orbital area, medial part",ORBm,0
582,"Orbital area, medial part, layer 2/3",ORBm2/3,638,731,"Orbital area, medial part",ORBm,27600
620,"Orbital area, medial part, layer 5",ORBm5,1067,731,"Orbital area, medial part",ORBm,40535
910,"Orbital area, medial part, layer 6a",ORBm6a,962,731,"Orbital area, medial part",ORBm,14225
527696977,"Orbital area, medial part, layer 6b",ORBm6b,,731,"Orbital area, medial part",ORBm,0
738,"Orbital area, ventral part",ORBv,233,714,Orbital area,ORB,0
746,"Orbital area, ventrolateral part",ORBvl,234,714,Orbital area,ORB,0
969,"Orbital area, ventrolateral part, layer 1",ORBvl1,1111,746,"Orbital area, ventrolateral part",ORBvl,32696
288,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,884,746,"Orbital area, ventrolateral part",ORBvl,44356
1125,"Orbital area, ventrolateral part, layer 5",ORBvl5,1130,746,"Orbital area, ventrolateral part",ORBvl,50536
608,"Orbital area, ventrolateral part, layer 6a",ORBvl6a,924,746,"Orbital area, ventrolateral part",ORBvl,17256
680,"Orbital area, ventrolateral part, layer 6b",ORBvl6b,933,746,"Orbital area, ventrolateral part",ORBvl,743
95,Agranular insular area,AI,11,315,Isocortex,Isocortex,0
104,"Agranular insular area, dorsal part",AId,12,95,Agranular insular area,AI,0
996,"Agranular insular area, dorsal part, layer 1",AId1,1114,104,"Agranular insular area, dorsal part",AId,48460
328,"Agranular insular area, dorsal part, layer 2/3",AId2/3,889,104,"Agranular insular area, dorsal part",AId,86938
1101,"Agranular insular area, dorsal part, layer 5",AId5,1127,104,"Agranular insular area, dorsal part",AId,128859
783,"Agranular insular area, dorsal part, layer 6a",AId6a,946,104,"Agranular insular area, dorsal part",AId,60849
831,"Agranular insular area, dorsal part, layer 6b",AId6b,952,104,"Agranular insular area, dorsal part",AId,3816
111,"Agranular insular area, posterior part",AIp,13,95,Agranular insular area,AI,0
120,"Agranular insular area, posterior part, layer 1",AIp1,863,111,"Agranular insular area, posterior part",AIp,43945
163,"Agranular insular area, posterior part, layer 2/3",AIp2/3,1010,111,"Agranular insular area, posterior part",AIp,74177
344,"Agranular insular area, posterior part, layer 5",AIp5,891,111,"Agranular insular area, posterior part",AIp,68142
314,"Agranular insular area, posterior part, layer 6a",AIp6a,1029,111,"Agranular insular area, posterior part",AIp,41573
355,"Agranular insular area, posterior part, layer 6b",AIp6b,1034,111,"Agranular insular area, posterior part",AIp,2175
119,"Agranular insular area, ventral part",AIv,14,95,Agranular insular area,AI,0
704,"Agranular insular area, ventral part, layer 1",AIv1,936,119,"Agranular insular area, ventral part",AIv,24738
694,"Agranular insular area, ventral part, layer 2/3",AIv2/3,652,119,"Agranular insular area, ventral part",AIv,52722
800,"Agranular insular area, ventral part, layer 5",AIv5,948,119,"Agranular insular area, ventral part",AIv,60904
675,"Agranular insular area, ventral part, layer 6a",AIv6a,1074,119,"Agranular insular area, ventral part",AIv,14775
699,"Agranular insular area, ventral part, layer 6b",AIv6b,1077,119,"Agranular insular area, ventral part",AIv,243
